MES_REF,ID_PROD_UNID_FAT_PAI,COD_PROD_PAI,ID_PROD_UNID_FAT_FILHO,COD_PROD_FILHO,UNID_FILHO,QTD_PAI_FINAL,QTD_UTIL_EFETIVA,QTD_FILHO_ESTRUTURAL_ESPERADA_BRUTA,ESTOQUE_ESTRUTURAL_CONSUMIDO,QTD_FILHO_ESTRUTURAL_ESPERADA_LIQ,QTD_FILHO_ESTRUTURAL_ALOCADA,DIF,STATUS_FECHAMENTO
2026-08-01,AGO26|NORDESTE|0616,616,AGO26|Nordeste|0616PI,0616PI,Nordeste,21569.000000000004,1.0,21569.000000000004,21569.0,3.637978807091713e-12,0.0,-3.637978807091713e-12,OK
2026-08-01,AGO26|NORDESTE|0617,617,AGO26|Nordeste|0617PI,0617PI,Nordeste,1883.0,1.0,1883.0,1883.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0659,659,AGO26|Nordeste|0659PI,0659PI,Nordeste,3266.0,1.0,3266.0,3266.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|0680,680,AGO26|Nordeste|2824,2824,Nordeste,12144.0,1.0,12144.0,12144.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0680,680,AGO26|Nordeste|2824,2824,Nordeste,5928.0,1.0,5928.0,5928.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|0681,681,AGO26|Nordeste|2827,2827,Nordeste,528.0,1.0,528.0,528.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|0682,682,AGO26|Nordeste|2826,2826,Nordeste,1092.0,1.0,1092.0,1092.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|0683,683,AGO26|Nordeste|2825,2825,Nordeste,1044.0,1.0,1044.0,1044.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|0770,770,AGO26|Nordeste|2824,2824,Nordeste,3980.0,1.0,3980.0,3980.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0770,770,AGO26|Nordeste|2824,2824,Nordeste,2290.0,1.0,2290.0,2290.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|0822,822,AGO26|Nordeste|2196,2196,Nordeste,1260.0,1.0,1260.0,1260.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0822,822,AGO26|Nordeste|2196,2196,Nordeste,3246.0,1.0,3246.0,3246.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0904,904,AGO26|Nordeste|2919,2919,Nordeste,48098.61577858814,1.0,48098.61577858814,48098.61577858813,7.275957614183426e-12,0.0,-7.275957614183426e-12,OK
2026-08-01,AGO26|NORDESTE|0904,904,AGO26|Nordeste|2922,2922,Nordeste,48098.61577858814,1.0,48098.61577858814,48098.61577858814,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0904,904,AGO26|Nordeste|2916,2916,Nordeste,48098.61577858814,1.0,48098.61577858814,48098.61577858814,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0906,906,AGO26|Nordeste|2920,2920,Nordeste,2685.382344428365,1.0,2685.382344428365,2685.382344428365,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0906,906,AGO26|Nordeste|2918,2918,Nordeste,2685.382344428365,1.0,2685.382344428365,2685.382344428365,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0906,906,AGO26|Nordeste|2916,2916,Nordeste,2685.382344428365,1.0,2685.382344428365,2685.382344428365,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0940,940,AGO26|Nordeste|2918,2918,Nordeste,1128.0,1.0,1128.0,1128.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0944,944,AGO26|Nordeste|2922,2922,Nordeste,804.0,1.0,804.0,804.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|0950,950,AGO26|Nordeste|2920,2920,Nordeste,864.0,1.0,864.0,864.0,0.0,0.0,0.0,OK
2026-08-01,AGO26|MATRIZ|1107,1107,AGO26|Nordeste|1107PI,1107PI,Nordeste,23.710827489481062,1.0,23.710827489481062,23.710827489481062,0.0,0.0,0.0,OK
2026-08-01,AGO26|NORDESTE|1107,1107,AGO26|Nordeste|1107PI,1107PI,Nordeste,473.5191725105189,1.0,473.5191725105189,473.5191725105189,0.0,0.0,0.0,OK
